ISO_639,Language_Name,Print_Name,In_Script,Romanization
crl,"Cree, Northern East",ᐄᔨᔫ ᐊᔨᒨᓐ,T,Īyiyū Ayimūn
crm,"Cree, Moose",ᐃᓕᓖᒧᐧᐃᓐ,T,ililîmowin
crn,"Cora, El Nayar",Naáyeri Nyuuca,,
cro,Crow,Apsáalooke,,
crq,"Chorote, Iyo'wujwa",Yojwaja,,
crs,Seychelles French Creole,Seselwa,,
crx,Carrier,Dakelh,,
crx,Carrier,Dakelhne,,
csb,Kashubian,Kaszëbsczi jãzëk,,
csh,"Chin, Asho",Asho Chin,,
csk,Jola-Kasa,Jóola Kaasa,,
cso,"Chinantec, Sochiapam",Jmiih kia’ dzä jii’,,
cso,"Chinantec, Sochiapam",Jú¹jma²,,
csv,"Chin, Sumtu",Cumtu,,
csv,"Chin, Sumtu",Sumtu Chin,,
csw,"Cree, Swampy",ᓀᐦᐃᓇᐍᐏᐣ,T,nêhinawêwin
csy,"Chin, Siyin",NULL,,
csy,"Chin, Siyin",Sizang,,
ctd,"Chin, Tedim",NULL,,
ctd,"Chin, Tedim",Tedim,,
cte,"Chinantec, Tepinapa",Jujmi,,
ctg,Chittagonian,চাঁটগাঁইয়া বুলি,T,Caṭgãia Buli
cth,"Chin, Thaiphum",Thaiphum,,
ctl,"Chinantec, Tlacoatzintepec",Jau jmai,,
ctn,Chhintang,छिन्ताङ्,T,Chhintang
cto,Embera Catío,Ẽ́bẽra Katío,,
ctp,"Chatino, Western Highland",Chaꞌtñan,,
ctu,Chol,Ch'ol,,
ctu,Chol,Lakty’añ,,
cub,Cubeo,Pamié,,
cuc,"Chinantec, Usila",Jau² jm⁴³,,
cuh,Gichuka,Gĩchuka,,
cui,Cuiba,Wajume,,
cuk,"Kuna, San Blas",Duleigaiya,,
cut,"Cuicatec, Teutila",Dubaku,,
cuv,Cuvok,Cuvakw,,
cux,"Cuicatec, Tepeuxila",Dibaku,,
cvg,Chug,Duhumbi,,
cwa,Kabwa,Ekikabhwa,,
cwd,"Cree, Woods",Nīhithawīwin,,
cwd,"Cree, Woods",ᓀᐦᐃᖬᐍᐏᐣ,T,nīhithawīwin
cwe,Kwere,Nghwele,,
cwt,Kuwaataay,Kuwaataay,,
cya,"Chatino, Nopala",Chaꞌtñan,,
cym,Welsh,Cymraeg,,
cyo,Cuyonon,Cuyonon,,
czn,"Chatino, Zenzontepec",Tsa' jnya,,
czt,"Chin, Zotung",Zotung Chin,,
czt,"Chin, Zotung",Zotung,,
daa,Dangaléat,Daŋla,,
dad,Marik,Marik od,,
dag,Dagbani,Dagbanli,,
daj,"Daju, Dar Fur",Bekke,,
dak,Dakota,Dakhóta,,
dan,Danish,Dansk,,
dao,"Chin, Daai",Daai Chin,,
dao,"Chin, Daai",Daai,,
dar,Dargwa,дарган мез,T,Dargin mez
dav,Dawida,Kidawida,,
daz,Moi,Moi,,
dbd,Dadiya,Na̱n Nyiyo Daddi̱ya,,
dbf,Edopi,Edopi,,
dbq,Daba,Ma Daba,,
dcr,Negerhollands,Kreool,,
dde,Doondo,Doondo,,
ddn,Dendi,Songhay,,
ddo,Dido,Цез мец,T,Cez mec
ddo,Dido,Цезйас мец,T,Cezyas mec
dec,Dagik,Dhaduwa,,
ded,Dedua,Dedua,,
def,Dezfuli,دزفولی,T,Dezfuli
der,Deori,Deori,,
der,Deori,দেউৰী,T,Deurai
des,Desano,Wirã ya,,
deu,"German, Standard",Deutsch,,
dez,Dengese,Londengese,,
dga,"Dagaare, Southern",Dagaare,,
dgc,"Agta, Casiguran Dumagat",Agta,,
dgh,Dghwede,Dghwéɗè,,
dgi,"Dagara, Northern",Dagara,,
dgl,Andaandi,Andaandi,,
dgo,Dogri,डोगरी,T,Dogri
dgr,Tlicho,Tłı̨chǫ Yatıì,,
dgw,Daungwurrung,Taungurung,,
dgx,Doghoro,Doghoro,,
dgz,Daga,Daga,,
dhd,Dhundari,धुन्धारी,T,Dhundhari
dhg,Dhangu-Djangu,Dhangu-Djangu,,
dhi,Dhimal,धिमाल,T,Dhimal
dhm,Dhimba,Oludhimba,,
dhn,Dangi,ડાંગી,T,Dangi
dhv,Drehu,Drehu,,
dhw,Danuwar,दनुवार,T,danuvāra
dib,"Dinka, South Central",Jiëëŋ,,
dib,"Dinka, South Central",Thuɔŋjäŋ,,
did,Didinga,Dĩdĩnga,,
dif,Diyari,Dieri,,
dig,Chidigo,Chidigo,,
dik,"Dinka, Southwestern",Thoŋ ë Muɔnyjäŋ,,
dik,"Dinka, Southwestern",Thuɔŋjäŋ,,
dil,Dilling,Warki,,
dip,"Dinka, Northeastern",Jiëëŋ,,
dip,"Dinka, Northeastern",Thoŋ ë Jiëëŋ,,
diq,"Zazaki, Southern",Dimlî,,
diq,"Zazaki, Southern",Zazakî,,
dis,Dimasa,Grao Dima,,
diu,Gciriku,Rumanyo,,
div,Maldivian,ދިވެހި,T,Divehi
div,Maldivian,ދިވެހިބަސް,T,Divehi-bas
diw,"Dinka, Northwestern",Thuɔŋjäŋ,,
diz,Ding,Kiding,,
djc,"Daju, Dar Daju",Dajiŋge,,
dje,Zarma,Zarma sanni,,
dje,Zarma,Zarmaciine,,
djk,Aukan,Okanisi Tongo,,
djr,Djambarrpuyngu,Djambarrpuyngu,,
dks,"Dinka, Southeastern",Jiɛ̈ɛ̈ŋ Ciɛɛm,,
dks,"Dinka, Southeastern",Thuɔŋjäŋ,,
dkx,Mazagway-Hidi,Mazagway-Hidi,,
dlg,Dolgan,Дулҕан,T,Dulğan
dlm,Dalmatian,Dalmato,,
dlm,Dalmatian,Langa Dalmata,,
dln,Darlong,Darlong,,
dmo,Kemedzung,Díɛ yi Bədzumbu lə,,
dmo,Kemedzung,Kɨmədzuŋ,,
dng,Dungan,Хуэйзў йүян,T,Huejzw jyjan
dnj,Dan,Dã̀ã̀,,
dnn,Dzùùngoo,Dzùùngoo,,
dnn,Dzùùngoo,Kpankagooma,,
dno,Ndrulo,Ndrŭló,,
doa,Dom,Dom,,
dob,Dobu,Dobu,,
doo,Dongo,Dhɔ̀ngɔ̀kɔ́,,
dos,Dogosé,Dɔgɔsɛ,,
dow,Doyayo,Dooya̰a̰yɔ,,
drc,Minderico,Minderico,,
drc,Minderico,Piação dos Charales do Ninhou,,
drg,Rungus,Momogun,,
dri,C'Lela,C'Lela,,
drs,Gedeo,ጌዴኡፈ,T,gedeʾufä
drt,Drents,Drèents,,
dry,Darai,दरइ,T,darai
dsb,"Sorbian, Lower",Dolnoserbski,,
dsb,"Sorbian, Lower",Dolnoserbšćina,,
dsh,Daasanach,Af Daasanach,,
dso,Desiya,ଦେଶିଆ,T,Desia
dsq,Tadaksahak,Tadaksahak,,
dtb,"Kadazan, Labuk-Kinabatangan",Tinangaran Kadajan,,
dtp,Kadazan Dusun,Kadazan Dusun,,
dtr,Lotud,Suang Lotud,,
dty,Dotyali,डोट् याली,T,Dotyali
dua,Duala,Duálá,,
duc,Duna,Yuna,,
duc,Duna,Yunaya haga,,
due,"Agta, Umiray Dumaget",Dumaget-Bulus,,
dug,Chiduruma,Chiduruma,,
dur,Dii,Ya̧g dìì,,
dus,Dumi,दुमी,T,Dumi
dwr,Dawro,Dawrotsuwa,,
dwr,Dawro,ዳውሮꬃዋ,T,Dawrotsuwa
dww,Dawawa,Dawawa,,
dwy,Dhuwaya,Dhuwaya,,
dwz,Dewas Rai,राई दनुवार,T,rāī danuwār
dwz,Dewas Rai,राई,T,rāī
dyi,"Sénoufo, Djimini",Jinmiire,,
dyo,Jola-Fonyi,Jóola fóoñi,,
dyu,Jula,Julakan,,
dzg,Dazaga,Dazaga,,
dzo,Dzongkha,རྫོང་ཁ་,T,Dzongkha
ebo,Teke-Eboo,Aboo,,
ebr,Tchaman,Tyaman,,
ebu,Kiembu,Kiembu,,
efi,Efik,Efik,,
egl,Emilian,Emigliân,,
ego,Eggon,onumu Egon,,
eip,Lik,Lik,,
eiv,Askopan,Askopan,,
eja,Jola-Felupe,Djola-Felupe,,
ekg,Ekari,Me,,
ekk,"Estonian, Standard",Eesti Keel,,
ekm,Nulibie,Nulíbíe,,
eko,Koti,Ekoti,,
ell,Greek,Δημοτική Γλώσσα,T,Dimotikí Glóssa
ell,Greek,Νέα Ελληνικά,T,Néa Ellīniká
ell,Greek,ελληνικά,T,Elliniká
elm,Eleme,Eleme,,
emi,Mussau-Emira,Emira,,
emi,Mussau-Emira,Mussau,,
emk,"Maninkakan, Eastern",Maninka,,
emp,"Emberá, Northern",Dadyi Ẽ́berã Bed̶ea,,
emp,"Emberá, Northern",Ẽ́berã Bed̶ea,,
ems,"Yupik, Pacific Gulf",Sugpiaq,,
emx,Erromintxela,Erromintxela,,
ena,Apal,Apalɨ,,
enb,Markweeta,Markweta,,
enf,"Enets, Forest",Онэй базаан,T,onaj bazaan
eng,English,English,,
enl,Enlhet,Enlhet,,
enn,Engenni,Egene,,
enq,Enga,Eŋa,,
enx,Enxet,Enxet,,
epo,Esperanto,Esperanto,,
epo,Esperanto,Lingvo Internacia,,
erg,Sie,nam Eromaga,,
eri,Ogea,Ogea,,
erk,"Efate, South",Nafsan,,
ese,Ese Ejja,Eseꞌejja,,
esg,"Gondi, Aheri",कोयम,T,Koyam
esg,"Gondi, Aheri",गोंडी,T,Gondi
esi,"Inupiatun, North Alaskan",Iñupiatun,,
esk,"Inupiatun, Northwest Alaska",Iñupiatun,,
ess,"Yupik, Saint Lawrence Island",Yupigestun,,
esu,"Yupik, Central",Yugtun,,
etr,Edolo,Edolo Ado,,
etr,Edolo,Edolo,,
ets,Etsako,Etsako,,
etu,Ejagham,Éjághám,,
eus,Basque,Euskera,,
eve,Even,эвэды торэн,T,eved'i toren
ewe,Éwé,Èʋegbe,T,Èwegbe
ewo,Ewondo,Ewondo,,
ext,Extremaduran,Barranquênhu,,
ext,Extremaduran,Ehtremeñu,,
eya,Eyak,dAxhunhyuuga’,,
eza,Ezaa,Ezaa,,
faa,Fasu,Namo Me,,
fab,Fa d'Ambu,Fa d'Ambu,,
fad,Wagi,Wagi,,
fag,Finongan,Finongan man,,
fai,Faiwol,Faiwol,,
fak,Fang,Benjube Fenga,,
fan,Fang,Faŋ,,
fao,Faroese,Føroyskt,,
fap,Paloor,Paloor,,
far,Fataleka,Fataleka,,
fax,Fala,Fala,,
fax,Fala,Nosa Fala,,
ffi,Foia Foia,Foia Foia,,
ffm,"Fulfulde, Maasina",Fulfulde,,
ffm,"Fulfulde, Maasina",Maasinankoore,,
fij,Fijian,Na Vosa Vakaviti,,
fil,Filipino,Filipino,,
fin,Finnish,Suomi,,
fip,Fipa,Ichifipa,,
fir,Firan,Firan,,
fit,Meänkieli,Meänkieli,,
fkk,Kirya-Konzel,myá Kákíryà,,
fkk,Kirya-Konzel,myá Kónzə̀l,,
fkv,"Finnish, Kven",Kvääni,,
fkv,"Finnish, Kven",Kväänin kieli,,
flr,Fuliiru,Kifuliiru,,
fmp,Fe'fe',fèʼéfěʼè,,
fmp,Fe'fe',nùfī,,
fod,Foodo,Fóodo,,
foi,Foi,Foe,,
fon,Fon,Fɔngbè,,
fos,Siraya,Siraya,,
fpe,Equatorial Guinean Pidgin,Pidgin,,
fra,French,français,,
frc,"French, Cajun",français cadien,,
frc,"French, Cajun",français louisianais,,
frd,Fordata,Vaidida,,
frp,Arpitan,Arpitan,,
frq,Forak,Forak,,
frr,"Frisian, Northern",Friisk,,
frs,"Saxon, East Frisian Low",Oostfreesk,,
frs,"Saxon, East Frisian Low",Plattdüütsk,,
fry,Frisian,Frysk,,
fub,"Fulfulde, Adamawa",Fulfulde,,
fub,"Fulfulde, Adamawa",ڢُلْڢُلْدٜ,T,Fulfulde
fuc,Pulaar,Pulaar,,
fud,"Futuna, East",Fakafutuna,,
fue,"Fulfulde, Borgu",Fulfulde,,
fuf,Pular,Pular,,
fuh,"Fulfulde, Western Niger",Fulfulde,,
fuh,"Fulfulde, Western Niger",ڢُلْڢُلْدٜ,T,Fulfulde
fun,Iatê,Iatê,,
fuq,"Fulfulde, Central-Eastern Niger",Fulfulde,,
fur,Friulian,Furlan,,
fur,Friulian,Marilenghe,,
fuv,"Fulfulde, Nigerian",Fulfulde,,
fuv,"Fulfulde, Nigerian",فُلْفُلْدٜ,T,fulfuid
fuy,Fuyug,Fuyug,,
fvr,Fur,Poor’íŋ Belé’ŋ,,
fwe,Fwe,Cìfwè,,
gaa,Ga,Ga,,
gab,Gabri,Maja,,
gag,Gagauz,Gagauz dili,,
gag,Gagauz,Gagauzça,,
gah,Alekano,Alekano,,
gai,Mbore,Mborena Kam,,
gaj,Gadsup,Kasufu wayani,,
gan,"Chinese, Gan",Jiangxi hua,,
gas,"Garasia, Adiwasi",ગરાસિયા આદિવાસી,T,Ādivāsī Garāsiyā
gas,"Garasia, Adiwasi",ગરાસિયા,T,Garāsiyā
gat,Aziana,Aziana,,
gaw,Nobonob,Nobonob,,
gax,"Oromo, Borana-Arsi-Guji",Afaan Oromoo,,
gaz,"Oromo, West Central",Afaan Oromoo,,
gbf,Gaikundi,Gaikundi,,
gbi,Galela,Galelaka,,
gbk,Gaddi,गदी,T,Gadi
gbl,Gamit,ગામીત,T,Gamit
gbm,Garhwali,गढ़वळि भाख,T,Garhwali bhākha
gbo,"Grebo, Northern",Klépo,,
gbp,Gbaya-Bossangoa,Gbɛya,,
gbv,Gbanu,Gbanu,,
gby,Gbari,Gbari,,
gcc,Mali,Mali,,
gcc,Mali,Mali-Baining,,
gdd,Gedaged,Gedaged,,
gde,Gude,Guɗe,,
gdg,Gaꞌdang,Gaꞌdang,,
gdl,Dirasha,Dhirayta,,
gdn,Umanakaina,Umanakaina,,
gdr,Wipi,Wipi,,
gef,Gerai,Gorai,,
geh,Hutterisch,Hutterisch,,
gej,Gen,Gen-Gbe,,
gek,Ywom,Ywom,,
gel,ut-Ma'in,ut-Ma'in,,
gez,Geez,ግዕዝ,T,Gəʿəz
gfk,Patpatar,Patpatar,,
ghs,Guhu-Samane,Guhu-Samane noo,,
gid,Gidar,ma Kaɗa,,
gil,Kiribati,I-Kiribati,,
gim,Gimi,Gimi,,
gip,Gimi,Gimi,,
git,Gitxsan,Gitsenimx,,
giz,Giziga,Giziga,,
gjk,"Koli, Kachi",گجراتی کچی کوہلی,T,Gujarati Kuchi Kohli
gjn,Gonja,Ŋgbanyɛto,,
gju,Gujari,گوجری,T,Gojri
gkn,Gokana,Gokana,,
gkp,"Kpelle, Guinea",Kpɛlɛwoo,,
gla,Scottish Gaelic,Gàidhlig,,
glc,Bon Gula,Êêni,,
gld,Nanai,Нанай,T,Nanaj
gle,Irish,Gaeilge,,
glg,Galician,galego,,
glk,Gilaki,گیلکی,T,Gīlakī
glv,Manx,Gaelg,,
gmv,Gamo,Gamoththo,,
gmz,Mgbolizhia,Mgbolizhia,,
gna,Kaansa,Kã́asa,,
gnb,Gangte,Gangte,,
gng,Ngangam,Miganganm,,
gni,Gooniyandi,Gooniyandi,,
gno,"Gondi, Northern",गोंडी,T,Gondi
gnw,"Guaraní, Western Bolivian",Guaraní,,
goa,Guro,Golo,,
god,Godié," ‑Gwëjewälɩ",,
gof,Gofa,Goofatho,,
gof,Gofa,ጎፋꬆ,T,Gofah
gog,Gogo,Wagogo,,
gok,Gowli,गौली,T,Gaulī
gom,"Konkani, Goan",Konknni,,
gom,"Konkani, Goan",कोंकणी,T,Konknni
gor,Gorontalo,Hulontalo,,
gos,Gronings,Grunnegs,,
gou,Gavar,Ma Gavar,,
gqa,Ga'anda,Kaandata,,
gra,"Garasia, Rajput",गरसिया,T,Garasiya
grc,"Greek, Ancient",Ἑλληνική,T,Hellēnikḗ
grh,Tugbiri-Niragu,Tugbiri,,
grh,Tugbiri-Niragu,Tugbiri-Niragu,,
grt,Garo,Mande,,
grw,Gweda,Gweda,,
gsl,Gusilay,Gusiilaay,,
gsn,Nema,Nema,,
gso,"Gbaya, Southwest",Nu Gbaya,,
gsw,"German, Swiss",Schwiizerdütsch,,
gub,Guajajára,Zeʼegete,,
guc,Wayuu,Wayuunaiki,,
gud,"Dida, Yocoboué",Dída,,
gug,"Guaraní, Paraguayan",Avañe'ẽ,,
guh,Guahibo,Jiwijume,,
gui,"Guaraní, Eastern Bolivian",Guaraní,,
guj,Gujarati,ગુજરાત,T,Gujarātī
guk,Gumuz,Sa-Gumuz,,
gul,Sea Island English Creole,Geechee,,
gul,Sea Island English Creole,Gullah,,
gum,Misak,Namdrik,,
gun,"Guaraní, Mbyá",Nhandeayvu,,
guo,Guayabero,Jiwjame,,
gup,Gunwinggu,Bininj Kunwok,,
gup,Gunwinggu,Kunwinjku,,
guq,Aché,Aché,,
gur,Farefare,Fãrfãre,,
guu,Yanomamö,Yanomamɨ,,
guw,Gun,Gungbe,,
gux,Gourmanchéma,Gulmancema,,
guz,Ekegusii,Ekegusii,,
gvc,Wanano,Kotiria,,
gvf,Golin,Golin ka,,
gvl,Gulay,Guley,,
gvr,Gurung,तमु क्यी,T,Tamu Kyi
gvs,Gumawana,Gumawana,,
gwc,Gawri,گاؤری,T,Gauri
gwd,Ale,Qale,,
gwi,Gwich'in,Dinjii Zhuh Ginjik,,
gwi,Gwich'in,Dinjii Zhuh K’yaa,,
gwr,Gwere,Lugwere,,
gwt,Gawar-Bati,گوَري,T,Gawari
gyi,Gyele,Gyele,,
gym,Ngäbere,Ngäbere,,
gyn,Guyanese English Creole,Gaiyniiz,,
gyr,Guarayu,Gwarayu,,
gyz,Gyaazi,Ka̱ biGyazi,,
haa,Han,Häł Gołan,,
haa,Han,Tr’ondëk Hwëch’in,,
hae,"Oromo, Eastern",Afaan Oromoo,,
hag,Hanga,Haŋatiri,,
hah,Hahon,Rautsuiiri,,
haj,Hajong,Hajong Bhasa,,
haj,Hajong,হৃজং ভাশা,T,Hajong Bhasa
hak,"Chinese, Hakka",客家話,T,Hakkafa
han,Hangaza,Igihangaza,,
hao,Hakö,Hakö,,
hap,Hupla,Hupla,,
har,Harari,ሃራሪ,T,Gey Sinan
hat,Haitian Creole,Kreyòl Ayisyen,,
hau,Hausa,Hausa,,
hau,Hausa,هَوْسَ,T,haūْsa
hav,Havu,Gihavu,,
haw,Hawaiian,'Olelo Hawai'i,,
hay,Haya,Luhaya,,
hay,Haya,Oruhaya,,
haz,Hazaragi,آزرگی‎,T,Āzaragi
hbb,Nya Huba,Huba,,
hbo,"Hebrew, Ancient",לְשׁוֹן הַמִּקְרָא,T,Leshon ha-Miqra
hbo,"Hebrew, Ancient",עִבְרִית מִקְרָאִית,T,Ivrit Miqra'it
hch,Huichol,Wixárika Niukiyari,,
hch,Huichol,Wixárika,,
hdn,"Haida, Northern",X̱aat Kíl,,
hdy,Hadiyya,Hadiyyisa,,
heb,Hebrew,עִבְרִית חֲדָשָׁה,T,ivrít ḥadašá[h]
heb,Hebrew,עברית,T,Ivrit
hed,Herdé,Zime Pala,,
heg,Helong,Helong,,
heh,Hehe,Kihehe,,
her,Herero,Otjiherero,,
hif,Fiji Hindi,Fiji Baat,,
hig,Kamwe,Kamwe,,
hih,Pamosu,Pamosu,,
hil,Hiligaynon,Hiligaynon,,
hil,Hiligaynon,Ilonggo,,
hin,Hindi,मानक हिन्दी,T,Mānak Hindī
hin,Hindi,हिन्दी,T," Hindī"
hix,Hixkaryána,Hixkaryána,,
hkh,Khah,Khah,,
hla,Halia,Halia,,
hlb,Halbi,हलबी,T,Halabi
hlt,"Chin, Matu",Matu Chin,,
hlt,"Chin, Matu",Matu,,
hmd,"Miao, Large Flowery",A-Hmao,,
hmo,"Motu, Hiri",Hiri Motu,,
hmr,Hmar,Hmar,,
hmt,Hamtai,Hamtai,,
hmz,Sinicized Miao,Hmongb Shuat,,
hnd,"Hindko, Southern",ہندکو,T,Hindko
hne,Chhattisgarhi,छत्तीसगढ़ी,T,Chhattisgarhi
hni,Hani,Ha Nhi,,
hnj,Hmong Njua,Hmongb Nzhuab,,
hnj,Hmong Njua,Moob Leeg,,
hnn,Hanunoo,Hanunó'o,,
hnn,Hanunoo,ᜱᜨᜳᜨᜳᜢ,T,Hanunó'o
hno,"Hindko, Northern",ہندکو,T,Hindko
hns,"Hindustani, Sarnami",Sarnaanie Hiendoestaanie,,
hoc,Ho,Ho kaji,,
hoj,Haroti,हाड़ौती,T,Haroti
hol,Holu,Holo,,
hop,Hopi,Hopílavayi,,
hot,Malei,Malei,,
hre,Hre,Hrê,,
hrt,Hértevin,ܣܘܪܬ,T,Sôreth
hrv,Croatian,Hrvatski,,
hrx,Hunsrik,Hunsrik,,
hrx,Hunsrik,Riograndenser Hunsrickisch,,
hsb,"Sorbian, Upper",Hornjoserbsce,,
hsb,"Sorbian, Upper",Hornjoserbšćina,,
hsn,"Chinese, Xiang",湘语,T,Xiang
hto,"Witoto, Minika",Huitoto Mɨnɨca,,
hub,Wampís,Wampís,,
hue,"Huave, San Francisco del Mar",Ombeyajts,,
hui,Huli,Huli,,
hul,Vula'a,Vula'a,,
hum,Hungana,Hungani,,
hun,Hungarian,Magyar,,
hus,Huastec,Teenek,,
huu,"Witoto, Murui",Bue,,
huu,"Witoto, Murui",Murui,,
huv,"Huave, San Mateo del Mar",Ombeayiüts,,
huy,Hulaulá,לשנא נשן,T,Lišānā Nošān
hve,"Huave, San Dionisio del Mar",Ombeyajts,,
hvn,Hawu,Lii Hawu,,
hwc,Hawaii Pidgin,Hawaii Pidgin,,
hwc,Hawaii Pidgin,Pidgin,,
hwo,Hwana,Tuftera,,
hye,Armenian,արևելահայերեն,T,Arevelahayeren
hye,Armenian,հայերեն,T,Hayeren
hyw,"Armenian, Western",արեւմտահայերէն,T,arevmdahayerên
ian,Iatmul,Gepmakudi,,
iar,Purari,Koriki,,
iba,Iban,Jaku Iban,,
ibb,Ibibio,Ibibio,,
ibd,Iwaidja,Manganawal Iwaja,,
ibg,Ibanag,Ibanag,,
ibl,Ibaloi,Inibaloi,,
ibo,Igbo,Asụsụ Igbo,,
iby,Ibani,Ịḅanị,,
ida,Luidakho-Luisukha-Lutirichi,Luidakho-Luisukha-Lutirichi,,
idd,Ede Idaca,Ìdàáshà,,
idu,Idoma,Idɔma,,
ifa,"Ifugao, Amganad",Ipugaw,,
ifb,"Ifugao, Batad",Ipugaw,,
ife,Ifè,Ifɛ̀,,
ifk,"Ifugao, Tuwali",Ipugaw,,
ifk,"Ifugao, Tuwali",Tuwali,,
ifm,Teke-Wuumu,Ifumu,,
ifu,"Ifugao, Mayoyao",Ipugaw,,
igb,Ebira,Ebira,,
igl,Igala,Igala,,
ign,Ignaciano,Inaciànurupi,,
iii,Nuosu,Nuosu,,
iii,Nuosu,ꆈꌠꉙ,T,Nuosuhxop
ijc,Izon,Ịzọn,,
ijn,Kalabari,Kalaḇari Bibi,,
ike,"Inuktitut, Eastern Canadian",ᐃᓄᒃᑎᑐᑦ,T,Inuktitut
ikk,Ika,Ika,,
ikt,Inuinnaqtun,Inuinnaqtun,,
ikt,Inuinnaqtun,ᐃᓄᐃᓐᓇᖅᑐᓐ,T,Inuvialuktun
ikw,Ikwere,Ikwerre,,
ikx,Ik,Icetod,,
ikz,Ikizu,Ikiikiizʉ,,
ilb,Ila,Chiila,,
ilk,Bogkalot,Bogkalot,,
ilm,Iranun,Iranun,,
ilo,Ilocano,Ilokano,,
ilp,Iranun,Iranun,,
inb,Inga,Inga,,
ind,Indonesian,Bahasa Indonesia,,
ing,Deg Xinag,Deg Xinag,,
inh,Ingush,Ghalghaj,,
inh,Ingush,Гӏалгӏай,T,Ğalğaj
inh,Ingush,гӏалгӏай мотт,T,Ğalğaj mott
ino,Inoke-Yate,Inoke,,
ino,Inoke-Yate,Inoke-Yate,,
ior,Inor,ኢኖር,T,Inori
iou,Tuma-Irumu,Tuma Man,,
ipi,Ipili,Ipili,,
iqu,Iquitu,Akenóiri,,
iqw,Ikwo,Ikwo,,
irh,Irarutu,Irarutu,,
iri,Rigwe,Rigwe,,
irk,Iraqw,Kángw Iraqw,,
iru,Irula,இருளா,T,Irula
iry,Iraya,Iraya,,
isd,Isnag,Isnag,,
ish,Esan,Awain,,
isl,Icelandic,íslenska,,
iso,Isoko,Isoko,,
ita,Italian,Italiano,,
itl,Itelmen,итэнмэн,T,Itėnmėn
its,Isekiri,Iṣekiri,,
itv,Itawit,Itawit,,
ium,Iu Mien,Iu Mienh,,
ivb,Ibatan,Ibatan,,
ivv,Ivatan,Chirin nu Ibatan,,
ixc,Ixcatec,Xwja,,
ixl,Ixil,Ixil,,
iyo,Mesaka,Ugarə,,
izh,Ingrian,Ižoran keel,,
izr,Izere,Izere,,
izz,Izii,Izii,,
jaa,Jamamadí,Jamamadí,,
jab,Hyam,Jaba,,
jac,Jakalteko,Abxubal,,
jac,Jakalteko,Abꞌxubꞌal Poptiꞌ,,
jae,Yabem,Jabêm,,
jam,Jamaican English Creole,Jamiekan,,
jao,Yanyuwa,Yanyuwa,,
jav,Javanese,Jawa,,
jbu,Jukun Takum,Njikum,,
jct,Krimchak,Кърымчах тыльы,T,Krymchakh Tilyi
jdt,Judeo-Tat,Juwri,,
jeb,Jebero,Shiwilu la’la’,,
jeh,Jeh,Jeh,,
jen,Dza,nnwa’ Dzâ,,
jgk,Gwak,Gwak,,
jgo,Ngomba,Cú-Mbɔ́ndaa,,
jgo,Ngomba,Cú-Ŋgɔmbaa,,
jib,Jibu,Jibu,,
jic,Tol,Tol,,
jim,Jimjimen,Jimjimən,,
jit,Jita,Echijita,,
jiv,Shuar,Shuar chicham,,
jmc,Machame,Kimashami,,
jmd,Yamdena,Tanempar Liriny,,
jmd,Yamdena,Tanempar,,
jml,Jumli,खस जुम्ली,T,Khas Jumli
jml,Jumli,जुम्‍ली,T,Jumli
jmn,"Naga, Makuri",Makuri,,
jmx,"Mixtec, Western Juxtlahuaca",Tu̱ꞌun‑yó,,
jnj,Yemsa,Yèmsa,,
jow,Jowulu,Jɔwulu,,
jpn,Japanese,日本語,T,Nihongo
jqr,Jaqaru,Jaqaru,,
jra,Jarai,Jơrai,,
jua,Júma,Kagwahiva,,
jud,Worodougou,Wüödughukakan,,
jul,Jirel,जिरेल,T,jirel
jum,Jumjum,Tüŋ Mäbaan,,
jun,Juang,ଜୁଆଙ୍‌,T,Juang
jup,Hupdë,Hup,,
jvn,"Javanese, Suriname",Jawa Suriname,,
kaa,Karakalpak,Qaraqalpaq tili,,
kaa,Karakalpak,Қарақалпақ тили,T,Qaraqalpaq tili
kab,Kabyle,Taqbaylit,,
kab,Kabyle,Tazwawt,,
kac,Jingpho,Jinghpaw ga,,
kad,Adara,Ànda,,
kaj,Jju,Jju,,
kaj,Jju,Kәjju,,
kak,Kalanguya,Kalanguya,,
kal,Greenlandic,Kalaallisut,,
kam,Kamba,Kĩkamba,,
kan,Kannada,ಕನ್ನಡ,T,Kannaḍa
kao,Xaasongaxango,Xasongo,,
kap,Bezhta,бежкьалас миц,T,beƶⱡʼalas mic
kaq,Capanahua,Capa Baquebo,,
kas,Kashmiri,کٲشُر,T,Koshur
kas,Kashmiri,कॉशुर,T,Koshur
kat,Georgian,ქართული ენა,T,Kartuli ena
kat,Georgian,ქართული,T,Kartuli
kaz,Kazakh,казақ тілі,T,Qazaq tili
kaz,Kazakh,казақша,T,Qazaqşa
kbc,Kadiwéu,Ǥoniwoladi ejiwajegi,,
kbd,Kabardian,Къэбэрдей Адыгэбзэ,T,Qăbărdey Adəgăbză
kbh,Camsá,Camëntsá,,
kbk,Koiari,Koiari,,
kbl,Kanembu,Kanembu,,
kbm,Iwal,Iwal,,
kbo,Keliko,Kẹ̃lị̃kọ́,,
kbp,Kabiyè,Kabɩyɛ Tɔm,,
kbq,Kamano,Kamano-Kafe,,
kbr,Kafa,Kafi noono,,
kbt,Abadi,Abadi,,
kbv,Dla,Dla,,
kby,"Kanuri, Manga",Manga,,
